# run:lumi:event  inner_cosA  outer_cosA  zero  dt(outer up-lo)  ndof_ok  lead_out(pt,eta,phi)  sub_out(pt,eta,phi)
1:8276:52739090  inner=+0.99999  outer=-0.99994  zero=0  dt=-38.710  ndof_ok=1  lead(470.23,+0.2488,-0.2825)  sub(1669.38,-0.2395,+2.8655)
1:39:243877  inner=+1.00000  outer=-0.71357  zero=0  dt=-41.061  ndof_ok=0  lead(197.62,+0.8157,-2.3367)  sub(3.45,-0.7966,+1.8709)
1:8480:54042293  inner=+1.00000  outer=-0.96964  zero=0  dt=-56.376  ndof_ok=0  lead(37.35,-0.7010,+1.7323)  sub(78.52,+1.0301,-1.3038)
1:8502:54178631  inner=+1.00000  outer=-0.96504  zero=0  dt=-48.708  ndof_ok=1  lead(237.80,-0.1595,+1.6949)  sub(12.99,+0.1130,-1.7104)
1:8502:54180770  inner=+1.00000  outer=-0.97208  zero=0  dt=-55.016  ndof_ok=0  lead(12.45,+0.7675,-2.3022)  sub(82.88,-0.7803,+1.1511)
1:8587:54721215  inner=+1.00000  outer=-0.99978  zero=0  dt=-30.314  ndof_ok=1  lead(305.27,+0.7226,-1.1245)  sub(205.67,-0.7224,+1.9903)
1:8510:54233214  inner=+1.00000  outer=-0.99995  zero=0  dt=-37.114  ndof_ok=1  lead(192.54,-0.3644,-0.4263)  sub(1667.76,+0.3538,+2.7119)
1:8908:56769248  inner=+1.00000  outer=-0.99621  zero=0  dt=-30.837  ndof_ok=1  lead(131.96,-0.8008,-2.0143)  sub(514.95,+0.6885,+1.1230)
1:8593:54758133  inner=+0.99999  outer=-0.99997  zero=0  dt=-34.138  ndof_ok=1  lead(380.49,+0.2226,-2.0632)  sub(701.43,-0.2237,+1.0866)
1:8639:55052424  inner=+1.00000  outer=-0.99998  zero=0  dt=-50.356  ndof_ok=1  lead(536.17,+0.7380,-1.3635)  sub(222.86,-0.7355,+1.7711)
1:8747:55740736  inner=+1.00000  outer=-0.99996  zero=0  dt=-53.208  ndof_ok=1  lead(311.30,+0.9952,-1.3425)  sub(154.51,-1.0047,+1.7891)
1:8780:55954799  inner=+1.00000  outer=-0.99997  zero=0  dt=-33.192  ndof_ok=1  lead(316.65,-0.5750,-1.3580)  sub(173.58,+0.5690,+1.7776)
1:8919:56838488  inner=+1.00000  outer=-0.99999  zero=0  dt=-60.966  ndof_ok=1  lead(150.44,+1.0123,+1.9141)  sub(1233.60,-1.0148,-1.2219)
1:8540:54421795  inner=+1.00000  outer=-0.99916  zero=0  dt=-51.574  ndof_ok=1  lead(98.65,-0.7725,+3.0210)  sub(198.32,+0.8137,-0.1565)
1:1409:8975682  inner=+0.99999  outer=-0.99994  zero=0  dt=-24.079  ndof_ok=1  lead(159.22,-0.3802,-1.5390)  sub(301.42,+0.3777,+1.6137)
1:8880:56590851  inner=+1.00000  outer=-0.85832  zero=0  dt=-71.259  ndof_ok=1  lead(3328.95,+0.9756,+2.7525)  sub(6.82,-0.5097,-0.9099)
