# run:lumi:event | A: std(pt,eta,phi) out(pt,eta,phi) | B: std(pt,eta,phi) out(pt,eta,phi) | cosA dt ndof_ok pair_cosmic cand_dup
1:8432:53736998 | A std(68.06,-0.0845,-1.2026) out(63.35,-0.0770,-1.2024) | B std(68.06,-0.0845,-1.2026) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8371:53346662 | A std(34.93,-0.0909,-0.7094) out(32.84,-0.0919,-0.7051) | B std(34.93,-0.0909,-0.7094) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8270:52703261 | A std(50.78,+0.4943,-2.0080) out(78.53,+0.4946,-2.0293) | B std(50.78,+0.4943,-2.0080) out(0.00,+0.0000,+0.0000) | cosA=+0.99982 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8124:51769543 | A std(60.96,+0.8138,-1.2322) out(51.31,+0.8122,-1.2456) | B std(60.96,+0.8138,-1.2322) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8142:51884769 | A std(227.40,+0.4440,-0.8851) out(324.89,+0.4405,-0.8861) | B std(227.40,+0.4442,-0.8851) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8219:52374742 | A std(58.50,+0.9962,+1.5589) out(69.04,+0.9997,+1.5621) | B std(58.50,+0.9962,+1.5589) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8288:52813099 | A std(30.58,-0.7285,-2.0235) out(32.62,-0.7266,-2.0288) | B std(30.58,-0.7285,-2.0235) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8440:53784450 | A std(94.10,+0.7883,-1.6160) out(55.80,+0.7912,-1.5960) | B std(94.10,+0.7883,-1.6160) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8415:53627653 | A std(49.24,+0.2906,-1.6687) out(100.55,+0.2804,-1.6959) | B std(49.24,+0.2906,-1.6687) out(0.00,+0.0000,+0.0000) | cosA=+0.99961 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8135:51840970 | A std(31.02,+0.6522,-1.1648) out(24.33,+0.6472,-1.2036) | B std(31.02,+0.6522,-1.1648) out(0.00,+0.0000,+0.0000) | cosA=+0.99948 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1490:9492526 | A std(175.39,-0.3865,-1.6966) out(124.82,-0.3878,-1.7051) | B std(175.39,-0.3865,-1.6966) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8489:54099448 | A std(69.78,-0.5933,+1.8540) out(109.34,-0.5908,+1.8708) | B std(69.78,-0.5933,+1.8540) out(0.00,+0.0000,+0.0000) | cosA=+0.99990 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8385:53431929 | A std(55.49,+0.7826,-1.1434) out(42.10,+0.7767,-1.1602) | B std(55.49,+0.7826,-1.1434) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8428:53711424 | A std(61.50,+1.0151,-1.5805) out(127.56,+1.0145,-1.6016) | B std(61.50,+1.0151,-1.5805) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8789:56011507 | A std(84.98,+1.3225,+1.0334) out(34.84,+1.3203,+0.9857) | B std(84.98,+1.3225,+1.0334) out(0.00,+0.0000,+0.0000) | cosA=+0.99972 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8774:55912634 | A std(166.11,-1.1204,-1.5343) out(271.55,-1.1185,-1.5241) | B std(166.11,-1.1204,-1.5343) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8788:55999917 | A std(103.97,+0.1702,-0.8058) out(11.65,+0.1605,-0.5286) | B std(103.97,+0.1702,-0.8058) out(0.00,+0.0000,+0.0000) | cosA=+0.96280 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8564:54575663 | A std(138.37,-0.3773,+1.8228) out(102.61,-0.3817,+1.8100) | B std(138.37,-0.3773,+1.8228) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8751:55769895 | A std(121.05,+0.3944,-1.5421) out(46.67,+0.3957,-1.4962) | B std(121.05,+0.3944,-1.5421) out(0.00,+0.0000,+0.0000) | cosA=+0.99909 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8782:55963178 | A std(39.54,+0.2998,-2.1307) out(32.20,+0.2966,-2.1548) | B std(39.54,+0.2998,-2.1307) out(0.00,+0.0000,+0.0000) | cosA=+0.99973 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1337:8518061 | A std(64.44,+0.5049,-0.7305) out(127.84,+0.5041,-0.7029) | B std(64.44,+0.5049,-0.7305) out(0.00,+0.0000,+0.0000) | cosA=+0.99970 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8702:55455593 | A std(135.91,+1.0061,-2.5658) out(231.80,+1.0103,-2.5610) | B std(135.91,+1.0061,-2.5658) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8717:55548048 | A std(75.66,+0.4050,-1.3611) out(75.86,+0.4084,-1.3597) | B std(75.66,+0.4050,-1.3611) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8551:54490018 | A std(148.92,+0.1374,-1.6818) out(229.06,+0.1331,-1.6731) | B std(148.92,+0.1374,-1.6818) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8816:56179879 | A std(106.09,+0.2393,-1.6120) out(124.17,+0.2406,-1.6168) | B std(106.09,+0.2393,-1.6120) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8641:55067724 | A std(61.32,+0.7236,-2.1882) out(80.21,+0.7248,-2.1965) | B std(61.32,+0.7236,-2.1882) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8660:55188789 | A std(46.52,-0.4019,-1.9333) out(49.43,-0.3996,-1.9312) | B std(46.52,-0.4019,-1.9333) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8791:56018987 | A std(96.00,-0.3604,-1.5665) out(88.31,-0.3577,-1.5642) | B std(96.00,-0.3604,-1.5665) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8678:55301436 | A std(102.62,+0.4262,-0.5948) out(105.43,+0.4326,-0.5942) | B std(102.62,+0.4262,-0.5948) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8722:55582305 | A std(41.90,-0.7429,-1.7781) out(41.15,-0.7432,-1.7785) | B std(41.90,-0.7429,-1.7781) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8837:56312568 | A std(63.26,+0.2482,-1.6618) out(47.29,+0.2473,-1.6434) | B std(63.26,+0.2482,-1.6618) out(0.00,+0.0000,+0.0000) | cosA=+0.99984 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9026:57517951 | A std(34.68,-0.7155,-1.1394) out(35.90,-0.7111,-1.1319) | B std(34.68,-0.7155,-1.1394) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9059:57729224 | A std(137.41,-0.3754,-0.6304) out(403.22,-0.3780,-0.6472) | B std(137.41,-0.3754,-0.6304) out(0.00,+0.0000,+0.0000) | cosA=+0.99987 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
